TB Dst Saw	TB-303 Distored Sawtooth
TB Dst Sqr 1	TB-303 Distored Square 1
TB Dst Sqr 2	TB-303 Distored Square 2
TB Reso Sqr1	TB-303 Resonant Square 1
TB Reso Sqr2	TB-303 Resonant Square 2
TB Saw	TB-303 Sawtooth
TB SolidSaw1	TB-303 Solid Sawtooth 1
TB SolidSaw2	TB-303 Solid Sawtooth 2
TB Square 1	TB-303 Square 1
TB Square 2	TB-303 Square 2
TB Sqr Decay	TB-303 Square Decay
TB Natural	TB-303 Natural
JP8000 Saw 1	JP-8000 Sawtooth 1
JP8000 Saw 2	JP-8000 Sawtooth 2
MG Saw	Moog Sawtooth
Synth Saw 1	Synthesized Sawtooth 1
JP-8 Saw	Jupiter-8 Sawtooth
P5 Saw	Prophet-5 Sawtooth
Synth Saw 2	Synth Sawtooth 2
OB Saw	Oberheim Sawtooth
D-50 Saw	D-50 Sawtooth
JP-6 Square	Jupiter-6 Square
MG Square	Moog Square
P5 Square	Prophet-5 Square
JP-8 Pulse	Jupiter-8 Pulse
JP-6 Pulse	Jupiter-6 Pulse
MG Pulse	Moog Pulse
260 Pulse	ARP 2600 Pulse
JU-2 Sub OSC	Alpha-Juno-2 Oscillator
Frog wave	Frog Wave
Digiwave	Digiwave
FM Pulse	FM Pulse
JP8000 PWM	JP-8000 Pulse Width Modulation
JP8000 FBK	JP-8000 Feedback
260 Sub OSC	ARP 2600 Oscillator
Dist Synth	Distored Synth
Dist Square	Distored Square
MG Triangle	Moog Triangle
Jungle Bass	Jungle Bass
260 Sine Bs	ARP 2600 Sine Bass
MC-202 Bass	MC-202 Bass
SH-101 Bass	SH-101 Bass
Octa Bass	Octa Bass
Funky Bass	Funky Bass
Poly Bass	Poly Bass
MG Bass	Moog Bass
FM Super Bs	FM Super Bass
Solid Bass	Solid Bass
Organ Bass	Organ Bass
Dirty Bass	Dirty Bass
Upright Bs	Upright Bass
Ac Bass	Acoustic Bass
Voco Bass	Vocoder Bass
Fingered Bs	Fingered Bass
Pick Bass	Pick Bass
Fretless Bs	Fretless Bass
Slap Bass	Slap Bass
Juno Rave	Juno Rave
Blaster	Blaster
Fat JP-6	Fat Jupiter-6
OB Strings	Oberheim Strings
Orch Strings	Orchestra Strings
Pizzy Techno	Pizzy Techno
Choir	Choir
Syn Vox 1	Synthesized Vox 1
Syn Vox 2	Synthesized Vox 2
Syn Vox 3	Synthesized Vox 3
Ac Piano	Acoustic Piano
D-50 EP	D-50 E-Piano
E.Piano	E-Piano
Clavi	Clavinet
Full Stop	Full Stop
FM Club Org	FM Club Organ
E.Organ 1	E-Organ 1
E.Organ 2	E-Organ 2
Church Org	Church Organ
Power B fst	Power Hammond-B3 fast
Power B slw	Power Hammond-B3 slow
Org Chord	Organ Chord
Tubular	Tubular
Glockenspiel	Glockenspiel
Vibraphone	Vibraphone
FantabellSub	Fantasia Bell Sub
DIGI Bell	DIGI Bell
Steel Drum	Steel Drum
Marimba	Marimba
Balaphone	Balaphone
Kalimba	Kalimba
Steel Gtr	Steel Guitar
Clean TC	Clean TC Guitar
Dst Solo Gtr	Distored Solo Guitar
Dist TekGtr	Distored Tek Guitar
Gtr FX	Guitar Effects
Harmo Gtr	Harmonics Guitar
Wah Gtr 1	Wah-wah Guitar 1
Wah Gtr 2	Wah-wah Guitar 2
Wah Gtr 2a	Wah-wah Guitar 2a
Wah Gtr 2b	Wah-wah Guitar 2b
Wah Gtr 2c	Wah-wah Guitar 2c
Wah Gtr 2d	Wah-wah Guitar 2d
Sitar	Sitar
Brass	Brass
Trumpet	Trumpet
Mute Trumpet	Muted Trumpet
Soprano Sax	Soprano Saxophone
Solo Sax	Solo Saxophone
Baritone Sax	Baritone Saxophone
Brass Fall	Brass Fall
Flute	Flute
Pan Flute	Pan Flute
Shakuhachi	Shakuhachi
Bagpipe	Bagpipe
Breath	Breath
Feedbackwave	Feedback Wave
Atmosphere	Atmosphere
Rezo Noise	Resonant Noize
MG White Nz	Moog White Noise
P5 Noise	Prophet-5 Noise
MG Pink Nz	Moog Pink Noise
Bomb Noise	Bomb Noise
Sea	Sea
Brush Noise	Brush Noise
Space Noise	Space Noise
Scream	Scream
Jet Plane	Jet Plane
Toy Gun 1	Toy Gun 1
Crash	Crash
Toy Gun 2	Toy Gun 2
