SHKR+ MENU	≡ SHAKER+ MENU
808 Maracas	TR-808 Maracas
Maracas	Maracas
Cabasa Up	Cabasa Up
TechnoShaker	Techno Shaker
TR626 Shaker	TR-626 Shaker
Dance Shaker	Dance Shaker
CR78 Guiro	CR-78 Guiro
Long Guiro	Long Guiro
Short Guiro	Short Guiro
Mute Cuica	Muted Cuica
Open Cuica	Open Cuica
Whistle	Whistle
TR727Quijada	TR-727 Quijada
Jingle Bell	Jingle Bell
Belltree	Belltree
Wind Chime	Wind Chime
RIM MENU	≡ RIMSHOT MENU
TR909 Rim	TR-909 Rimshot
TR808 Rim	TR-808 Rimshot
TR808 RimLng	TR-808 Rimshot Long
TR707 Rim	TR-707 Rimshot
Analog Rim	Analog Rimshot
Natural Rim	Natural Rimshot
Ragga Rim 1	Ragga Rimshot 1
Lo-Fi Rim	Low Fidelity Rimshot
Wood Block	Wood Block
Jungle Snap	Jungle Snap
TR808 Claves	TR-808 Claves
Hyoshigi	Hyoshigi
CHH MENU 1	≡ CLOSED HI-HAT MENU 1
CHH MENU 2	≡ CLOSED HI-HAT MENU 2
TR909 CHH 1	TR-909 Closed Hi-Hat 1
TR909 CHH 2	TR-909 Closed Hi-Hat 2
TR808 CHH 1	TR-808 Closed Hi-Hat 1
TR808 CHH 2	TR-808 Closed Hi-Hat 2
TR808 CHH 3	TR-808 Closed Hi-Hat 3
TR606 CHH 1	TR-606 Closed Hi-Hat 1
TR606 CHH 2	TR-606 Closed Hi-Hat 2
TR606 DstCHH	TR-606 Distored Hi-Hat
TR707 CHH	TR-707 Closed Hi-Hat
CR78 CHH	CR-78 Closed Hi-Hat
DR55 CHH 1	DR-55 Closed Hi-Hat 1
Closed Hat	Closed Hat
Pop CHH	Pop Closed Hi-Hat
Real CHH	Real Closed Hi-Hat
Bristol CHH	Bristol Closed Hi-Hat
DR550 CHH 2	DR-550 Closed Hi-Hat 2
Tight CHH	Tight Closed Hi-Hat
Hip CHH	Hip Closed Hi-Hat
Room CHH	Room Closed Hi-Hat
R8 Brush CHH	R-8 Brush Closed Hi-Hat
Jungle Hat	Jungle Hat
PHH MENU	≡ PEDAL HI-HAT MENU
TR909 PHH 1	TR-909 Pedal Hi-Hat 1
TR909 PHH 2	TR-909 Pedal Hi-Hat 2
TR808 PHH 1	TR-808 Pedal Hi-Hat 1
TR808 PHH 2	TR-808 Pedal Hi-Hat 2
TR606 PHH 1	TR-606 Pedal Hi-Hat 1
TR606 PHH 2	TR-606 Pedal Hi-Hat 2
TR707 PHH	TR-707 Pedal Hi-Hat
Hip PHH	Hip Pedal Hi-Hat
Tight PHH	Tight Pedal Hi-Hat
Pedal Hat 1	Pedal Hat 1
Real PHH	Real Pedal Hi-Hat
Pedal Hat 2	Pedal Hat 2
OHH MENU 1	≡ OPEN HI-HAT MENU 1
OHH MENU 2	≡ OPEN HI-HAT MENU 2
TR909 OHH 1	TR-909 Open Hi-Hat 1
TR909 OHH 2	TR-909 Open Hi-Hat 2
TR909 OHH 3	TR-909 Open Hi-Hat 3
TR909 DstOHH	TR-909 Distored Open Hi-Hat
TR808 OHH 1	TR-808 Open Hi-Hat 1
TR808 OHH 2	TR-808 Open Hi-Hat 2
TR606 OHH	TR-606 Open Hi-Hat
TR606 DstOHH	TR-606 Distored Open Hi-Hat
TR707 OHH	TR-707 Open Hi-Hat
CR78 OHH	CR-78 Open Hi-Hat
Hip OHH	Hip Open Hi-Hat
Pop Hat Open	Pop Hat Open
Open Hat	Open Hat
Cym OHH	Cym Open Hi-Hat
DR550 OHH	DR-550 Open Hi-Hat
Funk OHH	Funk Open Hi-Hat
Real OHH	Real Open Hi-Hat
R8 OHH	R-8 Open Hi-Hat
CYMBAL MENU	≡ CYMBAL MENU
TR606 Cym 1	TR-606 Cymbal 1
TR606 Cym 2	TR-606 Cymbal 2
TR909 Ride	TR-909 Ride Cymbal
TR707 Ride	TR-707 Ride Cymbal
Natural Ride	Natural Ride Cymbal
Cup Cym	Cup Cymbal
TR909 Crash	TR-909 Crash Cymbal
NaturalCrash	Natural Crash Cymbal
Jungle Crash	Jungle Crash Cymbal
Asian Gong	Asian Gong
CLAP MENU 1	≡ CLAP MENU 1
CLAP MENU 2	≡ CLAP MENU 2
TR909 Clap 1	TR-909 Clap 1
TR909 Clap 2	TR-909 Clap 2
TR808 Clap	TR-808 Clap
TR707 Clap	TR-707 Clap
Cheap Clap	Cheap Clap
Funk Clap	Funk Clap
Little Clap	Little Clap
