MG Big Lead	Moog Big Lead
JP Hardcore	Jupiter Hardcore
JP Hoover	Jupiter Hoover
JP Seq.Synth	Jupiter Sequenced Synth
P5 Unisync	Prophet-5 Unisync
P5 UnisyncLp	Prophet-5 Unisync Loop
Mondigital	Mondigital
MondigitalLp	Mondigital Loop
OSC Saw	OSC Saw
OSC Reso Saw	OSC Reso Saw
Siren Synth	Siren Synth
Sine	Sine
MG Bass 2	Moog Bass 2
MG Big Bass	Moog Big Bass
Solid Bass 2	Solid Bass 2
Jazz Bass	Jazz Bass
Ac.Bass A	Acoustic Bass A
Ac.Bass C	Acoustic Bass C
Tremolo sfz	Tremolo sfz
Choir Aah A	Choir Aah A
Choir Aah B	Choir Aah B
Choir Aah C	Choir Aah C
Piano 2	Piano 2
Lo-Fi Wurly	Low Fidelity Wurly
E.Organ 3	Electric Organ 3
Overdrive 1A	Overdrive 1A
Overdrive 1C	Overdrive 1C
Funk Gt	Funk Guitar
Funk Gt Mute	Funk Guitar Muted
D.MuteGt mp	Distored Muted Guitar mezzopiano
Sitar 2	Sitar 2
Bagpipe 2	Bagpipe 2
Solo Tpt. A	Solo Trumpet A
Solo Tpt. C	Solo Trumpet C
Blow Sax A	Blow Saxophone A
Blow Sax B	Blow Saxophone B
Blow Sax C	Blow Saxophone C
Tron Flute	Tron Flute
DIDGERI MENU	≡ DIDGERIDOO MENU
Didgeridoo 1	Didgeridoo 1
Didgeridoo 2	Didgeridoo 2
Didgeridoo 3	Didgeridoo 3
BERIMBA MENU	≡ BERIMBA MENU
Berimbau Opn	Berimbau Open
Berimbau Up	Berimbau Up
Berimbau Dn	Berimbau Down
Berimbau Mut	Berimbau Muted
Str Attack	String Attack
Lo-Fi RoomTp	Low Fidelity Room Thumper
Smear Hit 1	Smear Hit 1
Smear Hit 2	Smear Hit 2
LoFi MinorHt	Low Fidelity Minor Hit
ClassicHseHt	Classic Hse Hit
OrchPrc Hit	Orchestra Percussion Hit
Sitar Gliss	Sitar Gliss
Thunderbolt	Thunderbolt
Construct. 2	Construction 2
Jack Hammer	Jack Hammer
Turbine	Turbine
Sawing	Sawing
120:Steaming	Steaming 120BPM
SteamWhistle	Steam Whistle
Firebomb	Firebomb
Metal Bang	Metal Bang
MetallicShot	Metallic Shot
P-Zing	P-Zing
Boing	Boing
MG Zap MENU	≡ MOOG ZAP MENU
MG Zap 1	Moog Zap 1
MG Zap 2	Moog Zap 2
MG Zap 3	Moog Zap 3
MG Zap 4	Moog Zap 4
MG Zap 5	Moog Zap 5
MG Zap 6	Moog Zap 6
MG Zap 7	Moog Zap 7
MG Zap 8	Moog Zap 8
MG Zap 9	Moog Zap 9
MG Zap 10	Moog Zap 10
MG Zap 11	Moog Zap 11
